0.966090;0,1684,924,1759,1637,1205;1735,0,1872,1571,1918,1886;882,1853,0,1909,2031,802;1740,1571,1872,0,600,2327;1642,1900,1956,595,0,2477;1154,1909,821,2284,2538,0
1.062380;0,1782,778,1698,1632,1158;1773,0,1674,1618,1933,1914;722,1660,0,1839,1754,914;1665,1651,1825,0,628,2200;1581,2031,1721,638,0,2721;1177,1862,1032,2219,2688,0
1.158690;0,1599,628,1642,1576,1172;1557,0,1679,1750,2153,1815;605,1698,0,1778,1796,1130;1646,1801,1773,0,609,2266;1585,2153,1829,614,0,2435;1210,1712,1201,2242,2406,0
1.255030;0,1416,581,1623,1585,1215;1421,0,1703,1933,2176,1759;591,1684,0,1670,1792,1252;1595,2003,1651,0,633,2233;1590,2350,1740,638,0,2336;1229,1876,1304,2327,2322,0
1.351380;0,1529,666,1628,1595,1224;1557,0,1909,2144,2510,1825;717,1979,0,1740,1754,1346;1651,2162,1754,0,675,2341;1585,2533,1740,675,0,2228;1196,1651,1374,2214,2242,0
1.447720;0,1684,825,1656,1590,1196;1679,0,2275,2181,2655,1524;882,2261,0,1721,1646,1445;1670,2191,1712,0,656,2050;1599,2721,1595,656,0,2327;1215,1233,1515,2078,2322,0
1.544050;0,1426,943,1656,1599,1219;1384,0,1993,2223,2547,1196;966,1970,0,1726,1529,1529;1623,2200,1726,0,638,2298;1604,2303,1510,628,0,2303;1276,1248,1520,2350,2322,0
1.640360;0,1196,975,1604,1599,1280;1172,0,1886,2101,2205,1299;975,1872,0,1707,1487,1609;1613,2031,1703,0,619,2252;1562,2106,1496,619,0,2538;1233,1416,1717,2214,2580,0
1.732650;0,1144,1022,1628,1562,1229;1182,0,1937,1928,1993,1529;1018,1895,0,1698,1510,1698;1599,1843,1712,0,628,2233;1585,1886,1520,633,0,2580;1196,1712,1660,2308,2599,0
1.828920;0,1299,999,1581,1604,1191;1294,0,1656,1707,1914,1750;966,1642,0,1750,1538,1623;1534,1656,1768,0,642,2435;1613,1933,1562,638,0,2894;1252,1829,1599,2420,2857,0
1.925180;0,1233,882,1463,1623,1271;1238,0,1731,1656,1872,1942;853,1740,0,2233,1632,1552;1482,1637,2317,0,633,2388;1632,1843,1679,638,0,2186;1252,2045,1440,2411,2153,0
2.021430;0,1248,877,1576,1623,1238;1252,0,1811,1548,1857,2054;919,1829,0,2087,1829,1285;1628,1538,2059,0,605,2420;1595,1829,1918,600,0,2439;1219,2120,1135,2374,2472,0
2.117690;0,1327,1022,1651,1599,1210;1327,0,1735,1613,1839,2144;1074,1721,0,2242,2059,1036;1656,1632,2266,0,633,2223;1609,1848,2092,638,0,2542;1121,2228,1022,2209,2561,0
2.213980;0,1233,1187,1642,1618,1111;1219,0,1918,1628,1857,2219;1243,1970,0,2374,2181,966;1665,1623,2374,0,638,2266;1595,1876,2181,642,0,2664;1121,2012,863,2275,2650,0
2.310210;0,1285,1360,1703,1595,1111;1294,0,2148,1599,1853,1984;1459,2205,0,2350,2214,825;1707,1604,2341,0,638,2256;1599,1820,2289,633,0,2327;1050,2144,891,2242,2284,0
2.409190;0,1280,1360,1632,1552,1013;1294,0,2439,1651,1806,2092;1459,2388,0,2125,2266,947;1623,1684,2101,0,609,2209;1515,1825,2233,614,0,2172;882,1778,966,2233,2158,0
2.505450;0,1346,1501,1689,1552,886;1332,0,1848,1754,1881,1674;1407,1811,0,2200,2298,1036;1707,1782,2209,0,638,2270;1571,1881,2308,633,0,2130;891,1759,1088,2280,2115,0
2.601720;0,1290,1262,1665,1576,882;1285,0,1872,1820,1839,1839;1384,1890,0,2158,2313,1046;1613,1815,2167,0,614,2289;1585,1843,2298,619,0,2036;877,1961,989,2280,2050,0
2.698000;0,1290,1684,1628,1590,882;1290,0,1918,1740,1881,1961;1632,1914,0,2331,2280,989;1632,1721,2336,0,652,2275;1651,1947,2275,670,0,2195;905,1965,961,2322,2209,0
2.794230;0,1318,1407,1656,1674,905;1313,0,1872,1717,2017,1961;1388,1918,0,2411,2242,957;1698,1717,2416,0,760,2350;1637,2130,2191,764,0,2162;900,1956,966,2313,2167,0
2.890480;0,1337,1285,1684,1604,891;1332,0,1984,1689,2106,1909;1238,1965,0,2444,2148,989;1642,1674,2406,0,745,2270;1595,1984,2111,736,0,2303;891,1872,1027,2280,2331,0
